customer_id,acquisition_channel,age_band,region,frequency,monetary_total,monetary_avg,recency_days,target_holdout_spend
CUST_00001,Social,35-44,West,2,1328.46,664.23,17,3655.03
CUST_00002,Email,35-44,East,3,2575.04,858.3466666666667,33,6942.96
CUST_00003,Organic,18-24,North,3,3440.98,1146.9933333333333,8,4075.2000000000003
CUST_00004,Social,18-24,West,2,1905.4099999999999,952.7049999999999,35,610.32
CUST_00005,Paid Search,35-44,West,3,3986.69,1328.8966666666668,1,3375.66
CUST_00006,Organic,35-44,South,2,1994.6599999999999,997.3299999999999,35,8286.22
CUST_00007,Email,35-44,South,1,932.23,932.23,90,0.0
CUST_00008,Paid Search,18-24,North,2,1797.3200000000002,898.6600000000001,27,0.0
CUST_00009,Paid Search,35-44,West,2,2777.21,1388.605,34,2736.42
CUST_00010,Social,18-24,West,2,2348.9700000000003,1174.4850000000001,39,2145.6499999999996
CUST_00011,Paid Search,18-24,North,2,3071.11,1535.555,71,0.0
CUST_00012,Paid Search,35-44,East,1,1142.02,1142.02,90,0.0
CUST_00013,Paid Search,45-54,South,3,3821.1,1273.7,29,2235.61
CUST_00014,Email,45-54,East,3,3504.21,1168.07,8,5842.24
CUST_00015,Email,55+,North,3,3202.2200000000003,1067.4066666666668,38,5161.76
CUST_00016,Email,55+,West,3,2969.37,989.79,19,1232.45
CUST_00017,Paid Search,25-34,South,3,4005.2700000000004,1335.0900000000001,29,0.0
CUST_00018,Paid Search,45-54,West,3,3689.81,1229.9366666666667,7,4273.41
CUST_00019,Referral,18-24,North,5,7728.99,1545.798,12,2579.4300000000003
CUST_00020,Email,55+,East,3,3140.88,1046.96,26,5277.48
CUST_00021,Social,25-34,South,3,3089.9700000000003,1029.99,1,2752.34
CUST_00022,Paid Search,45-54,West,2,2158.38,1079.19,37,4322.78
CUST_00023,Paid Search,55+,East,3,3407.39,1135.7966666666666,11,1122.15
CUST_00024,Paid Search,45-54,East,2,2121.26,1060.63,27,5478.77
CUST_00025,Email,55+,North,4,3915.12,978.78,13,6908.73
CUST_00026,Email,18-24,East,3,3509.59,1169.8633333333335,17,5050.96
CUST_00027,Social,18-24,North,2,1651.4299999999998,825.7149999999999,21,3105.62
CUST_00028,Email,45-54,South,3,2936.48,978.8266666666667,4,6279.82
CUST_00029,Email,35-44,North,4,4524.51,1131.1275,16,4278.96
CUST_00030,Referral,18-24,North,5,10048.36,2009.672,10,13598.5
CUST_00031,Paid Search,45-54,East,2,2884.08,1442.04,51,6689.17
CUST_00032,Email,18-24,North,4,3890.68,972.67,39,5476.9800000000005
CUST_00033,Paid Search,55+,East,2,2582.42,1291.21,23,3820.41
CUST_00034,Email,18-24,West,3,3098.19,1032.73,16,6329.48
CUST_00035,Paid Search,35-44,North,3,3473.65,1157.8833333333334,23,0.0
CUST_00036,Social,55+,East,2,2105.95,1052.975,43,1118.79
CUST_00037,Organic,35-44,South,4,5421.33,1355.3325,8,0.0
CUST_00038,Paid Search,45-54,South,2,2461.94,1230.97,51,5428.19
CUST_00039,Referral,45-54,East,5,8203.71,1640.7419999999997,6,16027.66
CUST_00040,Social,55+,East,2,1992.05,996.025,34,3939.39
CUST_00041,Paid Search,35-44,East,3,2901.96,967.32,2,4992.74
CUST_00042,Social,55+,North,2,1833.0700000000002,916.5350000000001,51,3155.25
CUST_00043,Referral,35-44,East,7,11408.56,1629.7942857142857,14,12936.0
CUST_00044,Organic,55+,South,3,4024.41,1341.47,11,5176.4
CUST_00045,Organic,45-54,South,3,3972.37,1324.1233333333332,28,5899.25
CUST_00046,Paid Search,18-24,West,2,2401.8,1200.9,29,1496.4499999999998
CUST_00047,Email,45-54,North,4,3523.02,880.755,9,4143.2
CUST_00048,Email,55+,South,3,3205.1000000000004,1068.3666666666668,16,5431.26
CUST_00049,Paid Search,18-24,South,3,3757.37,1252.4566666666667,13,4871.11
CUST_00050,Paid Search,55+,North,2,2505.46,1252.73,60,0.0
CUST_00051,Organic,18-24,West,2,2059.1800000000003,1029.5900000000001,42,7899.42
CUST_00052,Paid Search,55+,South,3,4530.15,1510.05,1,1313.39
CUST_00053,Email,45-54,East,3,3811.72,1270.5733333333333,13,5881.5599999999995
CUST_00054,Social,18-24,South,2,1819.37,909.685,45,937.73
CUST_00055,Paid Search,45-54,West,2,2598.51,1299.255,46,4843.2
CUST_00056,Email,18-24,East,3,2839.15,946.3833333333333,35,0.0
CUST_00057,Organic,35-44,South,4,4955.84,1238.96,22,0.0
CUST_00058,Email,55+,West,3,3260.13,1086.71,28,4691.33
CUST_00059,Paid Search,25-34,West,3,3869.96,1289.9866666666667,2,5310.8
CUST_00060,Paid Search,18-24,East,3,2350.56,783.52,11,0.0
CUST_00061,Organic,35-44,North,2,2832.42,1416.21,13,6855.7
CUST_00062,Paid Search,25-34,East,3,3234.7599999999998,1078.2533333333333,33,3797.84
CUST_00063,Email,18-24,East,3,3305.46,1101.82,37,6051.07
CUST_00064,Paid Search,35-44,South,2,2493.95,1246.975,30,0.0
CUST_00065,Email,25-34,North,3,4019.42,1339.8066666666666,15,4018.58
CUST_00066,Organic,18-24,East,4,3999.2599999999998,999.8149999999999,3,4174.41
CUST_00067,Email,25-34,West,4,4623.59,1155.8975,17,6746.389999999999
CUST_00068,Organic,18-24,South,2,2474.55,1237.275,8,4973.03
CUST_00069,Paid Search,55+,South,3,4384.16,1461.3866666666665,24,5714.84
CUST_00070,Email,55+,North,3,3180.26,1060.0866666666668,28,0.0
CUST_00071,Organic,25-34,East,4,5861.66,1465.415,1,7324.22
CUST_00072,Email,55+,West,1,1248.36,1248.36,90,0.0
CUST_00073,Paid Search,35-44,West,3,4135.18,1378.3933333333334,16,3554.35
CUST_00074,Organic,55+,South,4,4417.92,1104.48,15,3411.41
CUST_00075,Email,18-24,North,4,4433.43,1108.3575,5,2170.36
CUST_00076,Email,25-34,South,4,4944.15,1236.0375,10,4422.9400000000005
CUST_00077,Organic,45-54,West,2,2020.54,1010.27,37,6506.389999999999
CUST_00078,Paid Search,25-34,North,2,2021.5,1010.75,32,4208.3099999999995
CUST_00079,Paid Search,55+,North,3,3094.21,1031.4033333333334,20,2876.43
CUST_00080,Paid Search,35-44,West,3,3482.8700000000003,1160.9566666666667,1,6127.23
CUST_00081,Email,35-44,East,3,3129.26,1043.0866666666668,23,0.0
CUST_00082,Paid Search,35-44,North,2,1661.6599999999999,830.8299999999999,32,6903.51
CUST_00083,Social,45-54,North,2,2228.4700000000003,1114.2350000000001,19,0.0
CUST_00084,Paid Search,18-24,South,3,2895.06,965.02,2,4879.9
CUST_00085,Social,45-54,East,2,1728.33,864.165,19,2408.96
CUST_00086,Paid Search,45-54,West,4,5464.1,1366.025,14,2144.09
CUST_00087,Email,55+,West,3,3708.09,1236.03,31,6597.07
CUST_00088,Paid Search,55+,South,3,3371.3,1123.7666666666667,3,4907.04
CUST_00089,Social,45-54,South,2,1562.6,781.3,6,0.0
CUST_00090,Email,35-44,West,4,4762.32,1190.58,11,3569.22
CUST_00091,Email,35-44,West,3,2958.25,986.0833333333334,8,5699.05
CUST_00092,Organic,25-34,North,3,3946.83,1315.61,10,6685.4
CUST_00093,Referral,55+,East,4,6895.15,1723.7875,25,18006.91
CUST_00094,Paid Search,25-34,East,3,2977.48,992.4933333333333,9,3048.09
CUST_00095,Organic,35-44,North,2,2484.34,1242.17,33,8312.34
CUST_00096,Paid Search,18-24,West,2,1816.14,908.07,28,5425.44
CUST_00097,Paid Search,25-34,South,1,931.8,931.8,90,0.0
CUST_00098,Email,25-34,East,3,2880.25,960.0833333333334,15,4179.91
CUST_00099,Paid Search,35-44,South,3,3312.2799999999997,1104.0933333333332,12,5816.28
CUST_00100,Paid Search,35-44,East,3,3755.51,1251.8366666666668,8,1475.65
CUST_00101,Social,45-54,West,2,1738.6,869.3,15,2195.71
CUST_00102,Paid Search,35-44,South,3,4036.88,1345.6266666666668,22,0.0
CUST_00103,Social,18-24,South,2,1880.91,940.455,30,3683.63
CUST_00104,Organic,35-44,West,4,5778.55,1444.6375,0,4615.12
CUST_00105,Referral,18-24,West,7,11235.65,1605.0928571428572,0,20337.52
CUST_00106,Social,55+,West,2,1430.48,715.24,40,1889.19
CUST_00107,Social,45-54,West,3,2614.56,871.52,1,3617.33
CUST_00108,Organic,25-34,East,4,5061.13,1265.2825,6,6118.82
CUST_00109,Paid Search,25-34,West,4,3933.18,983.295,14,5618.0
CUST_00110,Paid Search,18-24,West,2,1972.24,986.12,31,4402.26
CUST_00111,Email,25-34,North,4,5383.18,1345.795,6,5165.1900000000005
