customer_id,acquisition_date,acquisition_channel,age_band,region,calibration_end_date,holdout_end_date,eligible
CUST_00001,2022-02-18,Social,35-44,West,2022-05-19,2022-11-15,True
CUST_00002,2023-02-27,Email,35-44,East,2023-05-28,2023-11-24,True
CUST_00003,2022-12-24,Organic,18-24,North,2023-03-24,2023-09-20,True
CUST_00004,2022-08-28,Social,18-24,West,2022-11-26,2023-05-25,True
CUST_00005,2022-08-25,Paid Search,35-44,West,2022-11-23,2023-05-22,True
CUST_00006,2023-04-14,Organic,35-44,South,2023-07-13,2024-01-09,True
CUST_00007,2022-02-16,Email,35-44,South,2022-05-17,2022-11-13,True
CUST_00008,2023-01-16,Paid Search,18-24,North,2023-04-16,2023-10-13,True
CUST_00009,2022-04-21,Paid Search,35-44,West,2022-07-20,2023-01-16,True
CUST_00010,2022-02-21,Social,18-24,West,2022-05-22,2022-11-18,True
CUST_00011,2022-10-15,Paid Search,18-24,North,2023-01-13,2023-07-12,True
CUST_00012,2023-06-17,Paid Search,35-44,East,2023-09-15,2024-03-13,True
CUST_00013,2023-02-06,Paid Search,45-54,South,2023-05-07,2023-11-03,True
CUST_00014,2023-02-20,Email,45-54,East,2023-05-21,2023-11-17,True
CUST_00015,2023-01-27,Email,55+,North,2023-04-27,2023-10-24,True
CUST_00016,2023-03-06,Email,55+,West,2023-06-04,2023-12-01,True
CUST_00017,2022-10-08,Paid Search,25-34,South,2023-01-06,2023-07-05,True
CUST_00018,2022-03-11,Paid Search,45-54,West,2022-06-09,2022-12-06,True
CUST_00019,2023-04-04,Referral,18-24,North,2023-07-03,2023-12-30,True
CUST_00020,2022-09-03,Email,55+,East,2022-12-02,2023-05-31,True
CUST_00021,2022-10-01,Social,25-34,South,2022-12-30,2023-06-28,True
CUST_00022,2022-07-22,Paid Search,45-54,West,2022-10-20,2023-04-18,True
CUST_00023,2022-04-10,Paid Search,55+,East,2022-07-09,2023-01-05,True
CUST_00024,2023-05-22,Paid Search,45-54,East,2023-08-20,2024-02-16,True
CUST_00025,2023-03-03,Email,55+,North,2023-06-01,2023-11-28,True
CUST_00026,2022-12-18,Email,18-24,East,2023-03-18,2023-09-14,True
CUST_00027,2022-08-08,Social,18-24,North,2022-11-06,2023-05-05,True
CUST_00028,2023-03-26,Email,45-54,South,2023-06-24,2023-12-21,True
CUST_00029,2022-10-25,Email,35-44,North,2023-01-23,2023-07-22,True
CUST_00030,2022-08-31,Referral,18-24,North,2022-11-29,2023-05-28,True
