customer_id,acquisition_channel,age_band,region,predicted_clv
CUST_00001,Social,35-44,West,2717.91
CUST_00002,Email,35-44,East,4846.3945
CUST_00003,Organic,18-24,North,4848.7446
CUST_00004,Social,18-24,West,2947.2744
CUST_00005,Paid Search,35-44,West,3449.0244
CUST_00006,Organic,35-44,South,4898.2026
CUST_00007,Email,35-44,South,0.0
CUST_00008,Paid Search,18-24,North,3612.1394
CUST_00009,Paid Search,35-44,West,3991.7524
CUST_00010,Social,18-24,West,2853.3823
CUST_00011,Paid Search,18-24,North,990.301
CUST_00012,Paid Search,35-44,East,171.89252
CUST_00013,Paid Search,45-54,South,4140.722
CUST_00014,Email,45-54,East,4516.318
CUST_00015,Email,55+,North,4435.2466
CUST_00016,Email,55+,West,4632.9927
CUST_00017,Paid Search,25-34,South,3797.597
CUST_00018,Paid Search,45-54,West,3803.3738
CUST_00019,Referral,18-24,North,10634.21
CUST_00020,Email,55+,East,4594.5366
CUST_00021,Social,25-34,South,2693.2878
CUST_00022,Paid Search,45-54,West,4338.609
CUST_00023,Paid Search,55+,East,3762.0479
CUST_00024,Paid Search,45-54,East,3958.1301
CUST_00025,Email,55+,North,4590.755
CUST_00026,Email,18-24,East,4601.8228
CUST_00027,Social,18-24,North,2542.8787
CUST_00028,Email,45-54,South,4696.578
CUST_00029,Email,35-44,North,4556.686
CUST_00030,Referral,18-24,North,14782.895
CUST_00031,Paid Search,45-54,East,4019.7805
CUST_00032,Email,18-24,North,4760.551
CUST_00033,Paid Search,55+,East,3951.7898
CUST_00034,Email,18-24,West,4656.4995
CUST_00035,Paid Search,35-44,North,3866.492
CUST_00036,Social,55+,East,2230.716
CUST_00037,Organic,35-44,South,4133.685
CUST_00038,Paid Search,45-54,South,3860.6223
CUST_00039,Referral,45-54,East,14091.586
CUST_00040,Social,55+,East,2879.1807
CUST_00041,Paid Search,35-44,East,3734.867
CUST_00042,Social,55+,North,2687.8386
CUST_00043,Referral,35-44,East,14688.9795
CUST_00044,Organic,55+,South,4696.85
CUST_00045,Organic,45-54,South,4732.033
CUST_00046,Paid Search,18-24,West,3918.772
CUST_00047,Email,45-54,North,4620.235
CUST_00048,Email,55+,South,4663.048
CUST_00049,Paid Search,18-24,South,3934.694
CUST_00050,Paid Search,55+,North,2635.2322
CUST_00051,Organic,18-24,West,4656.2847
CUST_00052,Paid Search,55+,South,3550.3374
CUST_00053,Email,45-54,East,4792.9326
CUST_00054,Social,18-24,South,2277.3252
CUST_00055,Paid Search,45-54,West,3764.4053
CUST_00056,Email,18-24,East,4882.318
CUST_00057,Organic,35-44,South,4887.555
CUST_00058,Email,55+,West,4568.7476
CUST_00059,Paid Search,25-34,West,3905.5723
CUST_00060,Paid Search,18-24,East,3662.658
CUST_00061,Organic,35-44,North,4839.6113
CUST_00062,Paid Search,25-34,East,4136.892
CUST_00063,Email,18-24,East,4744.4756
CUST_00064,Paid Search,35-44,South,3947.7656
CUST_00065,Email,25-34,North,4363.426
CUST_00066,Organic,18-24,East,5009.878
CUST_00067,Email,25-34,West,4565.234
CUST_00068,Organic,18-24,South,4946.705
CUST_00069,Paid Search,55+,South,4375.4272
CUST_00070,Email,55+,North,4585.863
CUST_00071,Organic,25-34,East,5343.4
CUST_00072,Email,55+,West,0.0
CUST_00073,Paid Search,35-44,West,3560.2249
CUST_00074,Organic,55+,South,4931.944
CUST_00075,Email,18-24,North,4414.9937
CUST_00076,Email,25-34,South,4599.6484
CUST_00077,Organic,45-54,West,5237.6045
CUST_00078,Paid Search,25-34,North,3603.2917
CUST_00079,Paid Search,55+,North,3851.0398
CUST_00080,Paid Search,35-44,West,3609.814
CUST_00081,Email,35-44,East,4632.4136
CUST_00082,Paid Search,35-44,North,3477.6382
CUST_00083,Social,45-54,North,2499.1206
CUST_00084,Paid Search,18-24,South,3884.6316
CUST_00085,Social,45-54,East,2632.091
CUST_00086,Paid Search,45-54,West,3511.79
CUST_00087,Email,55+,West,4568.7476
CUST_00088,Paid Search,55+,South,3750.6821
CUST_00089,Social,45-54,South,2398.0781
CUST_00090,Email,35-44,West,4516.457
CUST_00091,Email,35-44,West,4597.546
CUST_00092,Organic,25-34,North,5388.3315
CUST_00093,Referral,55+,East,12541.985
CUST_00094,Paid Search,25-34,East,3786.7288
CUST_00095,Organic,35-44,North,5168.9253
CUST_00096,Paid Search,18-24,West,3591.053
CUST_00097,Paid Search,25-34,South,214.09248
CUST_00098,Email,25-34,East,4669.2954
CUST_00099,Paid Search,35-44,South,3770.43
CUST_00100,Paid Search,35-44,East,3750.83
CUST_00101,Social,45-54,West,2628.415
CUST_00102,Paid Search,35-44,South,3665.3188
CUST_00103,Social,18-24,South,2623.8
CUST_00104,Organic,35-44,West,4845.2676
CUST_00105,Referral,18-24,West,17729.473
CUST_00106,Social,55+,West,2829.8958
CUST_00107,Social,45-54,West,2726.599
CUST_00108,Organic,25-34,East,5417.644
CUST_00109,Paid Search,25-34,West,3957.9277
CUST_00110,Paid Search,18-24,West,3328.7856
CUST_00111,Email,25-34,North,4136.682
CUST_00112,Email,18-24,East,4663.5728
CUST_00113,Paid Search,55+,North,4038.3748
CUST_00114,Referral,18-24,East,13734.064
CUST_00115,Paid Search,45-54,South,3955.758
CUST_00116,Organic,35-44,South,4288.2563
CUST_00117,Paid Search,25-34,West,4030.354
CUST_00118,Paid Search,55+,East,3579.4536
CUST_00119,Paid Search,18-24,East,3749.1558
CUST_00120,Paid Search,55+,West,3915.8777
CUST_00121,Paid Search,45-54,North,3127.6685
CUST_00122,Paid Search,45-54,East,3647.1128
CUST_00123,Paid Search,55+,North,3874.6174
CUST_00124,Paid Search,35-44,North,4049.9536
CUST_00125,Email,25-34,North,2454.2446
CUST_00126,Email,18-24,East,4479.0737
CUST_00127,Paid Search,55+,East,3480.0676
CUST_00128,Paid Search,35-44,West,43.638214
CUST_00129,Paid Search,55+,South,4352.529
CUST_00130,Paid Search,25-34,West,4116.973
CUST_00131,Paid Search,55+,South,3750.6821
CUST_00132,Social,55+,North,2456.7256
CUST_00133,Organic,25-34,North,4783.438
CUST_00134,Organic,35-44,North,4604.1626
CUST_00135,Email,45-54,South,4591.5195
CUST_00136,Email,25-34,South,4633.519
CUST_00137,Paid Search,18-24,West,3467.799
CUST_00138,Social,25-34,North,626.9388
CUST_00139,Social,35-44,South,869.8876
CUST_00140,Social,18-24,West,2805.8481
CUST_00141,Organic,25-34,North,5065.407
CUST_00142,Email,55+,South,4749.0903
CUST_00143,Social,18-24,North,2583.9497
CUST_00144,Social,18-24,East,2346.8772
CUST_00145,Paid Search,35-44,West,4259.8716
CUST_00146,Organic,18-24,North,4622.9287
CUST_00147,Paid Search,18-24,South,3784.3347
CUST_00148,Organic,18-24,South,5243.4453
CUST_00149,Social,18-24,West,2313.093
CUST_00150,Paid Search,55+,West,3620.8718
CUST_00151,Social,18-24,North,2484.1973
CUST_00152,Paid Search,35-44,South,3888.2017
CUST_00153,Social,45-54,West,2793.4287
CUST_00154,Social,45-54,North,2844.6265
CUST_00155,Referral,45-54,West,13238.91
CUST_00156,Organic,25-34,North,4884.335
CUST_00157,Paid Search,55+,East,3794.1155
CUST_00158,Paid Search,18-24,West,3901.802
CUST_00159,Email,18-24,East,4529.535
CUST_00160,Paid Search,55+,West,3651.9534
CUST_00161,Email,18-24,East,4616.5483
CUST_00162,Paid Search,18-24,North,3190.9238
CUST_00163,Email,18-24,East,4682.1396
CUST_00164,Email,18-24,East,4862.849
CUST_00165,Organic,18-24,South,4990.0283
CUST_00166,Paid Search,35-44,North,3864.5884
CUST_00167,Organic,45-54,East,4816.8223
CUST_00168,Email,18-24,East,2076.465
CUST_00169,Paid Search,55+,West,3473.5063
CUST_00170,Email,18-24,North,4380.054
CUST_00171,Email,45-54,East,4695.7476
CUST_00172,Paid Search,55+,West,3617.0142
CUST_00173,Email,35-44,West,4651.9233
CUST_00174,Paid Search,35-44,West,3157.0525
CUST_00175,Email,18-24,North,4694.6855
CUST_00176,Referral,25-34,North,13656.61
CUST_00177,Email,55+,East,4099.6562
CUST_00178,Social,25-34,South,2569.1123
CUST_00179,Paid Search,18-24,North,3828.619
CUST_00180,Organic,45-54,North,5087.7373
CUST_00181,Social,45-54,North,2561.1328
CUST_00182,Organic,18-24,South,2914.1494
CUST_00183,Social,18-24,East,2574.987
CUST_00184,Paid Search,18-24,North,3741.5483
CUST_00185,Email,18-24,North,4909.9604
CUST_00186,Paid Search,45-54,South,3815.1794
CUST_00187,Social,18-24,West,2707.6282
CUST_00188,Referral,45-54,West,366.7053
CUST_00189,Paid Search,18-24,South,3201.0337
CUST_00190,Organic,55+,North,5230.3813
CUST_00191,Paid Search,45-54,North,3749.4495
CUST_00192,Referral,25-34,West,10703.534
CUST_00193,Social,35-44,South,2510.6147
CUST_00194,Paid Search,18-24,North,3478.9097
CUST_00195,Referral,18-24,West,15424.47
CUST_00196,Social,35-44,East,2536.0342
CUST_00197,Paid Search,18-24,South,3743.1472
CUST_00198,Email,45-54,South,4740.8374
CUST_00199,Paid Search,25-34,North,3880.4011
CUST_00200,Social,18-24,West,2711.025
CUST_00201,Paid Search,35-44,West,3443.9375
