customer_id,acquisition_channel,age_band,region,predicted_clv,clv_tier
CUST_00001,Social,35-44,West,2717.91,Low
CUST_00002,Email,35-44,East,4846.3945,Medium
CUST_00003,Organic,18-24,North,4848.7446,Medium
CUST_00004,Social,18-24,West,2947.2744,Low
CUST_00005,Paid Search,35-44,West,3449.0244,Medium
CUST_00006,Organic,35-44,South,4898.2026,Low
CUST_00007,Email,35-44,South,0.0,Low
CUST_00008,Paid Search,18-24,North,3612.1394,Low
CUST_00009,Paid Search,35-44,West,3991.7524,Low
CUST_00010,Social,18-24,West,2853.3823,Low
CUST_00011,Paid Search,18-24,North,990.301,Low
CUST_00012,Paid Search,35-44,East,171.89252,Low
CUST_00013,Paid Search,45-54,South,4140.722,Medium
CUST_00014,Email,45-54,East,4516.318,Medium
CUST_00015,Email,55+,North,4435.2466,Medium
CUST_00016,Email,55+,West,4632.9927,Medium
CUST_00017,Paid Search,25-34,South,3797.597,Medium
CUST_00018,Paid Search,45-54,West,3803.3738,Medium
CUST_00019,Referral,18-24,North,10634.21,High
CUST_00020,Email,55+,East,4594.5366,Medium
CUST_00021,Social,25-34,South,2693.2878,Medium
CUST_00022,Paid Search,45-54,West,4338.609,Low
CUST_00023,Paid Search,55+,East,3762.0479,Medium
CUST_00024,Paid Search,45-54,East,3958.1301,Low
CUST_00025,Email,55+,North,4590.755,Medium
CUST_00026,Email,18-24,East,4601.8228,Medium
CUST_00027,Social,18-24,North,2542.8787,Low
CUST_00028,Email,45-54,South,4696.578,Medium
CUST_00029,Email,35-44,North,4556.686,Medium
CUST_00030,Referral,18-24,North,14782.895,High
CUST_00031,Paid Search,45-54,East,4019.7805,Low
CUST_00032,Email,18-24,North,4760.551,Medium
CUST_00033,Paid Search,55+,East,3951.7898,Low
CUST_00034,Email,18-24,West,4656.4995,Medium
CUST_00035,Paid Search,35-44,North,3866.492,Medium
CUST_00036,Social,55+,East,2230.716,Low
CUST_00037,Organic,35-44,South,4133.685,Medium
CUST_00038,Paid Search,45-54,South,3860.6223,Low
CUST_00039,Referral,45-54,East,14091.586,High
CUST_00040,Social,55+,East,2879.1807,Low
CUST_00041,Paid Search,35-44,East,3734.867,Medium
CUST_00042,Social,55+,North,2687.8386,Low
CUST_00043,Referral,35-44,East,14688.9795,High
CUST_00044,Organic,55+,South,4696.85,Medium
CUST_00045,Organic,45-54,South,4732.033,Medium
CUST_00046,Paid Search,18-24,West,3918.772,Low
CUST_00047,Email,45-54,North,4620.235,Medium
CUST_00048,Email,55+,South,4663.048,Medium
CUST_00049,Paid Search,18-24,South,3934.694,Medium
CUST_00050,Paid Search,55+,North,2635.2322,Low
CUST_00051,Organic,18-24,West,4656.2847,Low
CUST_00052,Paid Search,55+,South,3550.3374,Medium
CUST_00053,Email,45-54,East,4792.9326,Medium
CUST_00054,Social,18-24,South,2277.3252,Low
CUST_00055,Paid Search,45-54,West,3764.4053,Low
CUST_00056,Email,18-24,East,4882.318,Medium
CUST_00057,Organic,35-44,South,4887.555,Medium
CUST_00058,Email,55+,West,4568.7476,Medium
CUST_00059,Paid Search,25-34,West,3905.5723,Medium
CUST_00060,Paid Search,18-24,East,3662.658,Medium
CUST_00061,Organic,35-44,North,4839.6113,Low
CUST_00062,Paid Search,25-34,East,4136.892,Medium
CUST_00063,Email,18-24,East,4744.4756,Medium
CUST_00064,Paid Search,35-44,South,3947.7656,Low
CUST_00065,Email,25-34,North,4363.426,Medium
CUST_00066,Organic,18-24,East,5009.878,Medium
CUST_00067,Email,25-34,West,4565.234,Medium
CUST_00068,Organic,18-24,South,4946.705,Low
