customer_id,acquisition_date,acquisition_channel,age_band,region
CUST_00001,2022-02-18,Social,35-44,West
CUST_00002,2023-02-27,Email,35-44,East
CUST_00003,2022-12-24,Organic,18-24,North
CUST_00004,2022-08-28,Social,18-24,West
CUST_00005,2022-08-25,Paid Search,35-44,West
CUST_00006,2023-04-14,Organic,35-44,South
CUST_00007,2022-02-16,Email,35-44,South
CUST_00008,2023-01-16,Paid Search,18-24,North
CUST_00009,2022-04-21,Paid Search,35-44,West
CUST_00010,2022-02-21,Social,18-24,West
CUST_00011,2022-10-15,Paid Search,18-24,North
CUST_00012,2023-06-17,Paid Search,35-44,East
CUST_00013,2023-02-06,Paid Search,45-54,South
CUST_00014,2023-02-20,Email,45-54,East
CUST_00015,2023-01-27,Email,55+,North
CUST_00016,2023-03-06,Email,55+,West
CUST_00017,2022-10-08,Paid Search,25-34,South
CUST_00018,2022-03-11,Paid Search,45-54,West
CUST_00019,2023-04-04,Referral,18-24,North
CUST_00020,2022-09-03,Email,55+,East
CUST_00021,2022-10-01,Social,25-34,South
CUST_00022,2022-07-22,Paid Search,45-54,West
CUST_00023,2022-04-10,Paid Search,55+,East
CUST_00024,2023-05-22,Paid Search,45-54,East
CUST_00025,2023-03-03,Email,55+,North
CUST_00026,2022-12-18,Email,18-24,East
CUST_00027,2022-08-08,Social,18-24,North
CUST_00028,2023-03-26,Email,45-54,South
CUST_00029,2022-10-25,Email,35-44,North
CUST_00030,2022-08-31,Referral,18-24,North
CUST_00031,2022-09-03,Paid Search,45-54,East
CUST_00032,2022-05-05,Email,18-24,North
CUST_00033,2022-02-20,Paid Search,55+,East
CUST_00034,2022-10-30,Email,18-24,West
CUST_00035,2023-04-30,Paid Search,35-44,North
CUST_00036,2022-02-04,Social,55+,East
CUST_00037,2023-04-14,Organic,35-44,South
CUST_00038,2023-03-28,Paid Search,45-54,South
CUST_00039,2022-06-01,Referral,45-54,East
CUST_00040,2022-12-11,Social,55+,East
CUST_00041,2022-04-01,Paid Search,35-44,East
CUST_00042,2023-02-18,Social,55+,North
CUST_00043,2023-01-18,Referral,35-44,East
CUST_00044,2022-07-13,Organic,55+,South
CUST_00045,2022-02-07,Organic,45-54,South
CUST_00046,2023-06-15,Paid Search,18-24,West
CUST_00047,2022-09-01,Email,45-54,North
CUST_00048,2023-05-03,Email,55+,South
CUST_00049,2023-01-06,Paid Search,18-24,South
CUST_00050,2023-03-01,Paid Search,55+,North
CUST_00051,2023-02-19,Organic,18-24,West
CUST_00052,2022-04-17,Paid Search,55+,South
CUST_00053,2022-07-18,Email,45-54,East
CUST_00054,2022-09-12,Social,18-24,South
CUST_00055,2022-09-29,Paid Search,45-54,West
CUST_00056,2022-01-24,Email,18-24,East
CUST_00057,2022-10-26,Organic,35-44,South
CUST_00058,2022-03-26,Email,55+,West
CUST_00059,2023-02-10,Paid Search,25-34,West
CUST_00060,2023-01-08,Paid Search,18-24,East
CUST_00061,2023-05-19,Organic,35-44,North
CUST_00062,2023-02-11,Paid Search,25-34,East
CUST_00063,2022-07-20,Email,18-24,East
CUST_00064,2023-06-13,Paid Search,35-44,South
CUST_00065,2022-08-13,Email,25-34,North
CUST_00066,2022-06-27,Organic,18-24,East
CUST_00067,2023-05-10,Email,25-34,West
CUST_00068,2022-07-22,Organic,18-24,South
CUST_00069,2022-02-11,Paid Search,55+,South
CUST_00070,2022-09-14,Email,55+,North
CUST_00071,2023-03-11,Organic,25-34,East
CUST_00072,2022-04-14,Email,55+,West
CUST_00073,2022-09-10,Paid Search,35-44,West
CUST_00074,2022-03-12,Organic,55+,South
CUST_00075,2023-01-10,Email,18-24,North
CUST_00076,2022-09-17,Email,25-34,South
CUST_00077,2022-06-30,Organic,45-54,West
CUST_00078,2022-05-04,Paid Search,25-34,North
CUST_00079,2022-11-05,Paid Search,55+,North
CUST_00080,2023-01-01,Paid Search,35-44,West
CUST_00081,2023-05-29,Email,35-44,East
CUST_00082,2022-08-27,Paid Search,35-44,North
CUST_00083,2022-03-29,Social,45-54,North
CUST_00084,2023-03-31,Paid Search,18-24,South
CUST_00085,2022-12-10,Social,45-54,East
CUST_00086,2023-01-18,Paid Search,45-54,West
CUST_00087,2022-02-23,Email,55+,West
CUST_00088,2022-06-20,Paid Search,55+,South
CUST_00089,2023-02-24,Social,45-54,South
CUST_00090,2023-03-31,Email,35-44,West
CUST_00091,2022-08-26,Email,35-44,West
CUST_00092,2023-03-16,Organic,25-34,North
CUST_00093,2023-04-05,Referral,55+,East
CUST_00094,2022-07-31,Paid Search,25-34,East
CUST_00095,2023-05-06,Organic,35-44,North
CUST_00096,2022-06-07,Paid Search,18-24,West
CUST_00097,2022-05-11,Paid Search,25-34,South
CUST_00098,2023-01-08,Email,25-34,East
CUST_00099,2022-12-14,Paid Search,35-44,South
CUST_00100,2022-03-18,Paid Search,35-44,East
CUST_00101,2023-03-31,Social,45-54,West
CUST_00102,2022-04-20,Paid Search,35-44,South
CUST_00103,2023-03-16,Social,18-24,South
CUST_00104,2022-01-05,Organic,35-44,West
CUST_00105,2023-03-12,Referral,18-24,West
CUST_00106,2023-03-06,Social,55+,West
CUST_00107,2023-03-03,Social,45-54,West
CUST_00108,2022-12-30,Organic,25-34,East
CUST_00109,2022-09-15,Paid Search,25-34,West
CUST_00110,2023-01-21,Paid Search,18-24,West
CUST_00111,2022-06-01,Email,25-34,North
CUST_00112,2023-03-03,Email,18-24,East
CUST_00113,2022-10-31,Paid Search,55+,North
CUST_00114,2022-09-08,Referral,18-24,East
CUST_00115,2022-10-04,Paid Search,45-54,South
CUST_00116,2022-11-07,Organic,35-44,South
CUST_00117,2022-01-21,Paid Search,25-34,West
CUST_00118,2022-03-18,Paid Search,55+,East
CUST_00119,2022-05-15,Paid Search,18-24,East
CUST_00120,2022-03-04,Paid Search,55+,West
CUST_00121,2022-08-29,Paid Search,45-54,North
CUST_00122,2022-12-31,Paid Search,45-54,East
CUST_00123,2022-12-24,Paid Search,55+,North
CUST_00124,2022-09-15,Paid Search,35-44,North
CUST_00125,2023-04-12,Email,25-34,North
CUST_00126,2022-11-05,Email,18-24,East
CUST_00127,2022-02-13,Paid Search,55+,East
CUST_00128,2023-02-22,Paid Search,35-44,West
CUST_00129,2022-11-10,Paid Search,55+,South
CUST_00130,2022-12-13,Paid Search,25-34,West
CUST_00131,2022-11-05,Paid Search,55+,South
CUST_00132,2022-10-30,Social,55+,North
CUST_00133,2022-02-19,Organic,25-34,North
CUST_00134,2022-11-02,Organic,35-44,North
CUST_00135,2023-03-11,Email,45-54,South
CUST_00136,2022-06-15,Email,25-34,South
CUST_00137,2022-11-26,Paid Search,18-24,West
CUST_00138,2022-01-17,Social,25-34,North
CUST_00139,2022-07-09,Social,35-44,South
CUST_00140,2022-08-27,Social,18-24,West
CUST_00141,2023-06-21,Organic,25-34,North
CUST_00142,2022-04-28,Email,55+,South
CUST_00143,2022-05-31,Social,18-24,North
CUST_00144,2022-08-12,Social,18-24,East
CUST_00145,2023-06-26,Paid Search,35-44,West
CUST_00146,2023-04-11,Organic,18-24,North
CUST_00147,2022-01-19,Paid Search,18-24,South
CUST_00148,2022-05-08,Organic,18-24,South
CUST_00149,2023-03-25,Social,18-24,West
CUST_00150,2022-02-01,Paid Search,55+,West
CUST_00151,2023-04-13,Social,18-24,North
CUST_00152,2022-06-03,Paid Search,35-44,South
CUST_00153,2023-05-17,Social,45-54,West
